epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0773,2.55111,4.47099,2.43662,0.17751,0.07038,0.01241,0.00326,2.77159,5.05605,2.8637,0.00029088,0.00029088,0.00029088
2,93.6767,2.36155,3.48393,2.31656,0.16157,0.01515,0.002,0.00048,3.86219,inf,5.09292,0.000562785,0.000562785,0.000562785
3,136.76,2.27978,3.18227,2.26585,0.02385,0.05435,0.00727,0.0018,3.63867,inf,3.91908,0.000806192,0.000806192,0.000806192
4,181.533,2.34431,3.18927,2.35226,0.30617,0.07128,0.01324,0.00394,2.81559,16.8438,3.01616,0.000779468,0.000779468,0.000779468
5,224.309,2.26438,3.03766,2.24296,0.3727,0.12536,0.03854,0.01035,2.6855,4.75022,2.83098,0.00073629,0.00073629,0.00073629
6,265.817,2.19461,2.96353,2.23888,0.36476,0.15856,0.05188,0.01459,2.76336,3.45377,2.77204,0.000693112,0.000693112,0.000693112
7,308.659,2.16797,2.96365,2.21083,0.18937,0.21593,0.11215,0.03198,2.46912,2.93809,2.56362,0.000649935,0.000649935,0.000649935
8,350.609,2.1228,2.81838,2.19215,0.46512,0.17081,0.12764,0.03856,2.44602,3.47486,2.53795,0.000606757,0.000606757,0.000606757
9,394.433,2.13762,2.7879,2.1688,0.18762,0.207,0.12426,0.03932,2.4533,2.85084,2.52019,0.00056358,0.00056358,0.00056358
10,441.212,2.05831,2.68136,2.11685,0.3495,0.22477,0.14829,0.04603,2.45505,2.81107,2.41393,0.000520402,0.000520402,0.000520402
11,499.026,2.06258,2.77322,2.23018,0.29035,0.18768,0.11836,0.03317,2.57762,3.07076,2.66755,0.000477225,0.000477225,0.000477225
12,531.789,2.01702,2.62072,2.22355,0.35618,0.28818,0.19874,0.06386,2.43382,2.66462,2.44232,0.000434047,0.000434047,0.000434047
13,563.444,2.00299,2.59178,2.21209,0.40321,0.26225,0.19354,0.06285,2.47884,2.61774,2.47117,0.00039087,0.00039087,0.00039087
14,595.977,2.00636,2.51669,2.1921,0.43771,0.26001,0.22278,0.06851,2.47033,2.50144,2.50342,0.000347692,0.000347692,0.000347692
15,629.639,1.96807,2.43393,2.15554,0.34137,0.31153,0.24153,0.08552,2.33208,2.4867,2.3811,0.000304515,0.000304515,0.000304515
16,663.1,1.95665,2.39634,2.11236,0.35242,0.33016,0.2822,0.09449,2.39931,2.33544,2.42063,0.000261337,0.000261337,0.000261337
17,695.891,1.93838,2.34161,2.12255,0.39325,0.31744,0.29829,0.10799,2.29597,2.31157,2.35661,0.00021816,0.00021816,0.00021816
18,727.989,1.88863,2.28455,2.07606,0.36511,0.35757,0.32902,0.11754,2.27707,2.31087,2.28287,0.000174982,0.000174982,0.000174982
19,759.086,1.87025,2.20592,2.05721,0.40544,0.36118,0.32545,0.11212,2.2999,2.21092,2.34756,0.000131805,0.000131805,0.000131805
20,796.44,1.83465,2.16355,2.03223,0.44027,0.37366,0.35023,0.12586,2.27433,2.15729,2.29835,8.86275e-05,8.86275e-05,8.86275e-05
